"Kleffmann","Excel makró programozás","2014","10311","5","Irodai"
"TESCO","Access 2010 haladó","2014","10312","6","Adatbázis"
"UPONOR","Excel 2010 haladó","2014","10313","8","Irodai"
"Schneider-Electric","ACCESS egyedi fejlesztés-tanácsadás","2014","10314","1","Adatbázis"
"Colombus Klíma Projekt","Egyedi Excel makró fejlesztés","2014","10315","2","Irodai"
"Takarék Akadémia","Windows Szerver 2012","2014","10316","6","Windows szerver"
"Procter&Gamble","Excel 2013 PowerPivot ","2014","10317","1","Irodai"
"MTA","Linux rendszergazda","2014","10318","3","Linux"
"T-Systems","Linux Shell programozás","2014","10319","5","Linux"
"Zollner Elektronik","ACCESS 2010 alapismeretek","2014","10320","8","Adatbázis"
"Ericsson Magyarország HR","Excel 2010 középhaladó","2014","10321","9","Irodai"
"ComCix","Linux Shell programozás","2014","10322","10","Linux"
"Deliotte magyarország","PowerPoint 2010","2014","10323","15","Irodai"
"SMARTMe","TCP/IP alap és haladó tanfolyamok","2014","10324","10","Hálózatok"
"IFUA Horváth &Partners","PowerPoint 2010 ","2014","10325","6","Irodai"
"Schneider-Electric","MS Project","2014","10326","8","Irodai"
"Takarék Akadémia","Access 210 alapismeretek","2014","10327","10","Adatbázis"
"Volánbusz Zrt.","Excel automatizálás és Makróprogramozás","2014","10328","40","Irodai"
"StartGarancia Zrt.","Excel makróprogramozás","2014","10329","8","Irodai"
"MVM","Excel VBA haladó","2014","10330","2","Irodai"
" IFUA Horváth &Partners","Excel 2010 alapok és középhaladó","2014","10331","12","Irodai"
"Nilfisk","Access 2010","2014","10332","24","Adatbázis"
"NNG","Excel 2013 makróprogramozás","2014","10333","6","Irodai"
"Deloitte","Excel 2010 haladó tréning","2014","10334","26","Irodai"
"COOP Zrt.","Excel 2007 középhaladó és haladó képzés","2014","10335","47","Irodai"
"Volánbusz Zrt.","Excel 2010 haladó és automatizálás","2015","10336","100","Irodai"
"Fresenius Kabi","Excel 2010 alapo és középhaladó","2015","10337","10","Irodai"
"Knauf Insulation","Excel 2010 haladó","2015","10338","14","Irodai"
"Modit Zrt.","Android Programozás","2015","10339","6","Programozás"
"Béres Egészségtár","Excel 2010 makróprogramozás (VBA)","2015","10340","4","Irodai"
"IFUA Horváth &Partners","Excel 2010 haladó és automatizálás","2015","10341","12","Irodai"
"EvoSoft","Linux Shell programozás","2015","10342","8","Linux"
